순위,회사명,15년 매출액,14년 매출액,증감율(%),기업형태,위치
644,애경산업(주),"459,430","406,945",13,외감,
645,일동홀딩스(주),"458,569","401,330",14,유가,
646,갑을메탈(주),"457,572","397,145",15,코스,
647,(주)포스코플랜텍,"457,180","618,580",-26,외감,
648,한국노바티스(주),"455,269","454,429",0,외감,
649,(주)원익홀딩스,"454,680","413,259",10,코스,
650,에드워드코리아(주),"454,383","423,689",7,외감,
651,한국다우코닝(주),"453,833","445,995",2,외감,
652,삼화페인트공업(주),"453,640","467,335",-3,유가,
653,삼환기업(주),"453,608","510,331",-11,외감,
654,(주)단석산업,"453,555","418,328",8,외감,
655,(주)세진중공업,"453,318","441,463",3,유가,
656,오-덱(주),"452,700","335,905",35,외감,
657,롯데엠알시(주),"452,301","616,181",-27,외감,
658,한전KDN(주),"451,678","458,960",-2,외감,
659,덴소코리아일렉트로닉스(주),"450,787","454,039",-1,외감,
660,더케이손해보험(주),"449,884","379,809",18,외감,
661,(주)경동나비엔,"448,302","382,392",17,유가,
662,(주)서한,"448,081","473,454",-5,코스,
663,지엠비코리아(주),"446,880","453,520",-1,유가,
664,사조동아원(주),"446,851","459,441",-3,유가,
665,삼부토건(주),"446,798","526,158",-15,유가,
666,요진개발(주),"446,373","269,918",65,외감,
667,(주)파라다이스,"444,511","490,022",-9,코스,
668,(주)동부메탈,"443,642","499,272",-11,외감,
669,S&T중공업(주),"443,176","504,533",-12,유가,
670,경상북도개발공사,"442,694","236,729",87,외감,
671,요진건설산업(주),"440,246","269,336",63,외감,
672,애터미(주),"440,126","315,765",39,외감,
673,(주)대유에이텍,"439,532","563,652",-22,유가,
674,다함하비오(주),"437,286","178,108",146,외감,
675,(주)비아다빈치,"437,251","412,035",6,외감,
676,PCA생명보험(주),"437,212","437,879",0,외감,
677,코리아오토글라스(주),"437,147","429,725",2,유가,
678,(주)태우,"436,948","550,846",-21,외감,
679,인지컨트롤스(주),"436,482","403,680",8,유가,
680,(주)딜라이브,"436,452","470,605",-7,외감,
681,율촌화학(주),"436,229","451,935",-3,유가,
682,(주)LG생명과학,"435,447","411,780",6,유가,
683,(주)디섹,"435,063","453,657",-4,외감,
684,만도헬라일렉트로닉스(주),"435,000","396,158",10,외감,
685,JW중외제약(주),"434,352","412,791",5,유가,
686,(주)대원컴퓨터,"434,238","479,213",-9,외감,
687,한양이엔지(주),"434,072","388,754",12,코스,
688,라인플러스(주),"434,054","290,157",50,외감,
689,서한산업(주),"432,296","588,364",-27,외감,
690,(주)센트랄,"432,201","392,997",10,외감,
691,씨에스유통(주),"431,707","430,897",0,외감,
692,대원전선(주),"431,517","404,801",7,유가,
693,에스케이텔링크(주),"431,368","465,463",-7,외감,
694,(주)대유위니아,"431,198","381,200",13,외감,
695,(주)크라운제과,"430,980","420,760",2,유가,
696,희성피엠텍(주),"430,258","469,377",-8,외감,
697,(주)사조대림,"429,808","405,812",6,유가,
698,한국로디아(주),"429,621","494,332",-13,외감,
699,한국공항(주),"429,134","438,214",-2,유가,
700,대주중공업(주),"427,365","481,288",-11,외감,
701,하이로지스틱스(주),"424,599","412,541",3,외감,
702,동화기업(주),"423,878","395,784",7,코스,
703,(주)협성건설,"423,730","244,929",73,외감,
704,(주)니프코코리아,"423,705","395,773",7,외감,
705,부산항만공사,"423,555","337,182",26,외감,
706,(주)한익스프레스,"421,853","346,462",22,유가,
707,(주)엠씨넥스,"421,493","378,395",11,코스,
708,(주)델코,"421,366","401,517",5,외감,
709,(주)이노션,"421,333","395,203",7,유가,
710,(주)경신전선,"421,111","462,086",-9,외감,
711,(주)노루페인트,"419,624","415,584",1,유가,
712,금호폴리켐(주),"419,389","415,256",1,외감,
713,(주)노브랜드,"419,359","375,259",12,외감,
714,이수건설(주),"419,292","344,684",22,외감,
715,양우건설(주),"418,286","300,004",39,외감,
716,아세아시멘트(주),"417,862","399,629",5,유가,
717,(주)케이티디에스,"417,080","353,280",18,외감,
718,남양공업(주),"416,997","409,066",2,외감,
719,와이케이스틸(주),"416,327","546,992",-24,외감,
720,패션그룹형지(주),"414,661","400,986",3,외감,
721,(주)컴투스,"414,658","205,160",102,코스,
722,한화에너지(주),"414,088","459,465",-10,외감,
723,(주)메타넥스코리아,"413,937","474,129",-13,외감,
724,(주)푸드머스,"413,730","386,261",7,외감,
725,한국제강(주),"413,521","427,578",-3,외감,
726,존슨콘트롤즈오토모티브코리아(주),"412,613","389,724",6,외감,
727,한국오광(주),"411,027","339,156",21,외감,
728,기보스틸(주),"409,250","466,109",-12,외감,
729,(주)디에이치엘코리아,"408,867","411,313",-1,외감,
730,(주)성주디앤디,"408,157","494,286",-17,외감,
731,아주산업(주),"407,765","321,942",27,외감,
732,현대종합특수강(주),"407,395","418,494",-3,외감,
733,포르쉐코리아(주),"406,845","287,784",41,외감,
734,(주)엔에스쇼핑,"405,577","390,396",4,유가,
735,(주)에이씨티,"403,943","134,856",200,외감,
736,(주)팜스토리,"403,834","404,859",0,코스,
737,광주광역시도시공사,"402,434","272,348",48,외감,
738,보령제약(주),"401,350","359,491",12,유가,
739,제이에스알마이크로코리아(주),"400,828","362,561",11,외감,
740,대양석유(주),"399,115","342,474",17,외감,
741,(주)루멘스,"398,884","500,434",-20,코스,
742,한화에스앤씨(주),"398,727","411,618",-3,외감,
743,동양이엔피(주),"398,103","369,780",8,코스,
744,(주)에이비씨마트코리아,"397,641","371,774",7,외감,
745,(주)이씨엠디,"395,371","363,409",9,외감,
746,(주)참프레,"392,889","243,148",62,외감,
747,유카로오토모빌(주),"392,602","319,984",23,외감,
748,한국후지제록스(주),"391,861","382,097",3,외감,
749,브리티쉬아메리칸토바코코리아(주),"391,030","452,107",-14,외감,
750,(주)대한모터스,"390,812","401,434",-3,외감,
751,(주)신영,"390,427","333,136",17,외감,
752,(주)한중푸드,"387,997","327,865",18,외감,
753,중흥에스클래스(주),"387,646","220,114",76,외감,
754,(주)신안,"386,632","272,467",42,외감,
755,동아타이어공업(주),"385,393","438,360",-12,유가,
756,(주)심텍,"385,130","303,237",27,코스,
757,어플라이드머티어리얼즈코리아(주),"384,416","267,860",44,외감,
758,중봉건설(주),"383,753","369,092",4,외감,
759,자일대우버스(주),"383,747","384,377",0,외감,
760,대림자동차공업(주),"383,122",,,외감,
761,하이에어코리아(주),"382,459","409,730",-7,외감,
762,동일석유(주),"380,797","449,634",-15,외감,
763,(주)영원아웃도어,"380,216","532,080",-29,외감,
764,평택에너지서비스(주),"379,726","814,447",-53,외감,
765,한국유에스씨전자(주),"379,301","433,276",-12,외감,
766,남성해운(주),"378,635","380,606",-1,외감,
767,(주)인터파크,"378,477","374,209",1,코스,
768,환영철강공업(주),"378,219","383,451",-1,외감,
769,무진전자(주),"378,040","274,523",38,외감,
770,금호고속(주),"378,002","397,978",-5,외감,
771,에어부산(주),"377,964","350,981",8,외감,
772,에스티엑스건설(주),"377,838","588,197",-36,외감,
773,페어차일드코리아반도체(주),"377,704","305,296",24,외감,
774,(주)에스아이플렉스,"377,640","441,496",-14,외감,
775,(주)풍인무역,"377,212","343,336",10,외감,
776,(주)온코퍼레이션,"376,255","455,257",-17,외감,
777,우미건설(주),"375,716","382,490",-2,외감,
778,(주)오텍캐리어,"375,580","325,926",15,외감,
779,(주)미래엔서해에너지,"375,424","656,285",-43,외감,
780,(주)테크팩솔루션,"375,296","345,193",9,외감,
781,프렉스에어코리아(주),"374,766","331,774",13,외감,
782,(주)한국축산의희망서울사료,"373,489","376,087",-1,외감,
783,코오롱패션머티리얼(주),"372,830","479,689",-22,유가,
784,디아지오코리아(주),"372,602","366,552",2,외감,
785,코스맥스(주),"372,482","246,823",51,유가,
786,(주)삼양제넥스,"371,628","367,104",1,외감,
787,(주)팔도,"371,278","329,984",13,외감,
788,(주)개성약품,"371,271","350,400",6,외감,
789,아세아제지(주),"370,816","371,614",0,유가,
790,베르디움건설(주),"370,170","161,416",129,외감,
791,(주)에프앤에프,"369,784","301,122",23,유가,
792,코오롱베니트(주),"369,723","342,302",8,외감,
793,(주)대한솔루션,"369,259","340,165",9,외감,
794,한솔로지스틱스(주),"368,605","384,170",-4,유가,
795,한국에스엠씨공압(주),"367,596","330,768",11,외감,
796,홍덕산업(주),"367,469","321,265",14,외감,
797,(주)바바리안모터스,"367,326","300,242",22,외감,
798,케이투코리아(주),"366,779","407,495",-10,외감,
799,동원시스템즈(주),"366,756","329,416",11,유가,
800,(주)부산롯데호텔,"366,639","339,885",8,외감,
801,남선석유(주),"366,500","328,427",12,외감,
802,한솔아트원제지(주),"365,554","349,150",5,유가,
803,(주)태웅,"365,347","411,545",-11,코스,
804,사조산업(주),"364,163","404,707",-10,유가,
805,에이스생명보험(주),"364,111","257,732",41,외감,
806,동아제약(주),"363,575","348,477",4,외감,
807,현대시멘트(주),"363,188","325,072",12,유가,
808,(주)필립스전자,"362,429","505,948",-28,외감,
809,(주)티제이팜,"362,238","313,487",16,외감,
810,(주)대홍기획,"361,382","328,003",10,외감,
811,(주)영우디지탈,"360,743","310,200",16,외감,
812,(주)하나투어,"360,012","315,418",14,유가,
813,(주)프라코,"359,793","300,876",20,외감,
814,(주)풍국산업,"359,773","320,690",12,외감,
815,에이케이켐텍(주),"359,709","441,354",-19,외감,
816,(주)티엠씨,"359,358","368,027",-2,외감,
817,(주)올품,"359,149","346,621",4,외감,
818,예스이십사(주),"358,638","353,652",1,코스,
819,(주)한독,"358,477","348,311",3,유가,
820,청호나이스(주),"358,427","342,609",5,외감,
821,(주)동양매직,"357,406","310,252",15,외감,
822,(주)휴스틸,"357,232","572,488",-38,유가,
823,동양물산기업(주),"357,167","342,316",4,유가,
824,로옴세미컨덕터코리아(주),"356,748","380,438",-6,외감,
825,태양금속공업(주),"356,671","364,911",-2,유가,
826,(주)한화갤러리아,"356,295","357,561",0,외감,
827,(주)에이블씨엔씨,"356,181","398,501",-11,유가,
828,가온미디어(주),"356,107","341,028",4,코스,
829,프라다코리아(주),"355,089","351,038",1,외감,
830,(주)동성모터스,"354,882","296,677",20,외감,
831,(주)아이피케이,"354,119","297,797",19,외감,
832,엔브이에이치코리아(주),"353,973","320,370",10,코스,
833,(주)국민행복기금,"353,673","374,312",-6,외감,
834,비에이치아이(주),"353,502","495,071",-29,코스,
835,금강공업(주),"353,372","452,490",-22,유가,
836,(주)홈앤쇼핑,"353,242","377,911",-7,외감,
837,한국이엠씨컴퓨터시스템즈(주),"352,658","323,447",9,외감,
838,(주)대한금속,"352,627","423,256",-17,외감,
839,(주)에스엠알풍정,"351,808","329,439",7,외감,
840,에스케이텔레시스(주),"351,046","395,736",-11,외감,
841,두원중공업(주),"350,470","347,367",1,외감,
842,(주)남선알미늄,"350,318","341,293",3,유가,
843,동국산업(주),"350,208","348,321",1,코스,
844,(주)TCC동양,"350,075","401,324",-13,유가,
845,(주)오산로지스틱스,"350,000",0,,외감,
846,신성약품(주),"349,819","309,486",13,외감,
847,(주)케이알산업,"349,017","483,503",-28,외감,
848,쌍용레미콘(주),"348,245","293,791",19,외감,
849,(주)인천약품,"347,366","311,833",11,외감,
850,휠라코리아(주),"346,805","397,490",-13,유가,
851,(주)캠시스,"346,207","295,069",17,코스,
852,(주)대성엘텍,"346,124","387,258",-11,코스,
853,(주)동성화인텍,"345,919","420,799",-18,코스,
854,공신테크노소닉(주),"345,673","416,989",-17,외감,
855,(주)디젠,"343,866","297,856",15,외감,
856,(주)금성백조주택,"343,392","320,138",7,외감,
857,(주)포스코엠텍,"343,224","432,236",-21,코스,
858,디에스네트웍스(주),"343,103","165,103",108,외감,
859,배곧신도시지역특성화타운(주),"342,900","8,061","4,154",외감,
860,한림건설(주),"341,497","477,751",-29,외감,
861,광림통상(주),"340,831","308,832",10,외감,
862,대한제분(주),"340,671","364,204",-6,유가,
863,중원종합건설(주),"340,051","224,521",51,외감,
864,(주)동양,"339,749","299,406",13,유가,
865,(주)승진상사,"339,530","430,948",-21,외감,
866,듀폰코리아(주),"339,326","491,183",-31,외감,
867,(주)로엔엔터테인먼트,"338,873","315,198",8,코스,
868,하이호경금속(주),"337,890","277,721",22,외감,
869,(주)조선일보사,"337,694","339,273",0,외감,
870,(주)에스엘라이팅,"336,102","380,179",-12,외감,
871,(주)서령개발,"335,576","269,023",25,외감,
872,(주)비에이치,"333,975","293,595",14,코스,
873,(주)에스텍시스템,"333,393","315,551",6,외감,
874,삼보산업(주),"330,366","342,536",-4,코스,
875,(주)동희산업,"330,283","240,818",37,외감,
876,(주)나무가,"330,072","193,918",70,코스,
877,(주)포스코티엠씨,"329,231","320,403",3,외감,
878,(주)디아이씨,"328,714","317,363",4,유가,
879,지엘메트로시티(주),"327,499",0,,외감,
880,(주)에스에프에이반도체,"326,942","335,631",-3,코스,
881,엔피씨(주),"326,901","299,163",9,유가,
882,(주)한국로렉스,"325,983","96,465",238,외감,
883,델인터내셔널(주),"324,764","345,419",-6,외감,
884,태림포장(주),"324,524","352,047",-8,유가,
885,히로세코리아(주),"324,473","408,693",-21,외감,
886,한전산업개발(주),"324,162","329,215",-2,유가,
887,엠케이전자(주),"323,894","381,237",-15,코스,
888,동국실업(주),"323,653","295,918",9,유가,
889,삼성비피화학(주),"322,818","413,869",-22,외감,
890,(주)동화면세점,"322,589","292,819",10,외감,
891,(주)리드코프,"322,346","314,666",2,코스,
892,(주)한국로슈,"321,777","281,137",14,외감,
893,대한사료(주),"321,752","348,754",-8,외감,
894,능원금속공업(주),"321,303","340,333",-6,외감,
895,대구그린파워(주),"321,273","43,908",632,외감,
896,위본모터스(주),"321,250","281,013",14,외감,
897,(주)드림텍,"320,822","399,888",-20,외감,
898,(주)케이티에스테이트,"320,253","277,386",15,외감,
899,일신방직(주),"319,529","310,813",3,유가,
900,(주)세아엘앤에스,"319,152","307,356",4,외감,
901,에어리퀴드코리아(주),"319,143","440,268",-28,외감,
902,파밀리에건설(주),"318,751","6,932","4,498",외감,
903,평화산업(주),"318,052","237,250",34,유가,
904,(주)디스플레이테크,"318,044","429,635",-26,코스,
905,에스에이피코리아(주),"317,151","289,895",9,외감,
906,(주)티에스케이워터,"317,087","235,517",35,외감,
907,(주)유라하네스,"316,318","300,031",5,외감,
908,EG건설(주),"316,062","295,953",7,외감,
909,스투트가르트스포츠카(주),"315,673","256,165",23,외감,
910,(주)SG세계물산,"315,377","340,529",-7,유가,
911,SK네트웍스서비스(주),"313,461","265,825",18,외감,
912,린나이코리아(주),"313,380","308,449",2,외감,
913,푸른위례프로젝트(주),"313,349","67,808",362,외감,
914,지에스엠비즈(주),"312,933","250,538",25,외감,
915,일진디스플레이(주),"312,207","454,231",-31,유가,
916,서울바이오시스 (주),"312,077","297,257",5,외감,
917,(주)에스엘라이텍,"310,916","282,979",10,외감,
918,(주)유니에스,"310,380","284,839",9,외감,
919,(주)엠에스오토텍,"310,355","316,826",-2,코스,
920,(주)잇츠스킨,"309,562","241,884",28,유가,
921,(주)용산,"309,412","279,852",11,외감,
922,미창석유공업(주),"309,317","355,666",-13,유가,
923,(주)글락소스미스클라인,"309,299","399,498",-23,외감,
924,선창산업(주),"309,257","277,527",11,유가,
925,울산아로마틱스(주),"309,253","229,376",35,외감,
926,(주)덕양에너젠,"309,183","313,984",-2,외감,
927,자일대우자동차판매(주),"309,157","313,289",-1,외감,
928,동일산업(주),"308,237","364,150",-15,유가,
929,한국미쓰비시전기오토메이션(주),"307,881","306,325",1,외감,
930,(주)경방,"307,744","256,979",20,유가,
931,오리온엔지니어드카본즈(주),"307,563","371,541",-17,외감,
932,케어캠프(주),"307,188","272,018",13,외감,
933,(주)경동사,"307,123","244,615",26,외감,
934,한국아스트라제네카(주),"306,779","318,707",-4,외감,
935,(주)케이지이니시스,"306,754","298,476",3,코스,
936,(주)대성스틸,"306,648","305,653",0,외감,
937,성창E&C(주),"306,621","305,213",0,외감,
938,금강(주),"306,543","326,843",-6,외감,
939,(주)케이티이엔지코어,"305,587","267,807",14,외감,
940,에이케이에스앤디(주),"305,467","331,273",-8,외감,
941,효성아이티엑스(주),"305,093","277,137",10,유가,
942,(주)부영,"304,849","415,556",-27,외감,
943,(주)제이피홀딩스피에프브이,"304,054","245,323",24,외감,
944,한일제관(주),"303,600","323,685",-6,외감,
945,코레일공항철도(주),"303,359","377,698",-20,외감,
946,(주)에넥스,"302,974","258,341",17,유가,
947,남광토건(주),"302,389","278,638",9,유가,
948,성우오토모티브(주),"301,791","882,961",-66,외감,
949,뉴스킨코리아(주),"301,730","311,671",-3,외감,
950,케이티텔레캅(주),"300,648","257,029",17,외감,
951,바이엘코리아(주),"300,215","334,118",-10,외감,
952,(주)에스지홀딩스,"299,442","258,107",16,외감,
953,(주)에스에너지,"299,268","260,301",15,코스,
954,(주)에버다임,"298,961","291,612",3,코스,
955,(주)건화,"298,907","276,935",8,외감,
956,엘지에릭슨(주),"297,352","343,210",-13,외감,
957,(주)대명건설,"296,934","184,738",61,외감,
958,삼광글라스(주),"296,449","283,830",4,유가,
959,장금마리타임(주),"296,196","248,349",19,외감,
960,한국컴퓨터(주),"295,919","363,261",-19,코스,
961,한국엔에스케이(주),"295,688","272,682",8,외감,
962,유니퀘스트(주),"295,667","282,064",5,유가,
963,대림씨엔에스(주),"295,452","257,906",15,유가,
964,(주)천재교육,"294,955","273,186",8,외감,
965,상신브레이크(주),"294,441","283,669",4,유가,
966,에스케이머티리얼즈(주),"294,226","196,220",50,코스,
967,(주)경기고속,"293,991","295,112",0,외감,
968,(주)벽산,"293,985","285,568",3,유가,
969,한국엔지니어링플라스틱(주),"293,755","288,339",2,외감,
970,(주)동아지질,"292,756","287,905",2,유가,
971,(주)코스콤,"292,357","280,304",4,외감,
972,경북광유(주),"291,746","299,164",-2,외감,
973,(주)동아일보사,"291,716","285,655",2,외감,
974,한성기업(주),"291,547","287,155",2,유가,
975,경남스틸(주),"291,241","289,478",1,코스,
976,(주)케이씨텍,"291,168","231,612",26,유가,
977,(주)한솔케미칼,"290,203","277,931",4,유가,
978,부산교통공사,"289,705","292,938",-1,외감,
979,이스타항공(주),"289,424","270,076",7,외감,
980,호전실업(주),"289,118","245,149",18,외감,
981,엔에이치엔비즈니스플랫폼(주),"289,038","281,111",3,외감,
982,DK유아이엘(주),"288,576","267,867",8,코스,
983,해원에스티(주),"288,231","290,919",-1,외감,
984,대선조선(주),"287,009","245,185",17,외감,
985,신한기계(주),"286,632","343,239",-16,외감,
986,태경농산(주),"286,424","278,069",3,외감,
987,클라쎄오토(주),"285,998","239,118",20,외감,
988,(주)한일맨파워,"285,997","212,410",35,외감,
989,(주)일진베어링,"285,850","262,539",9,외감,
