기간,자치구,총이동,총이동,총이동,총이동,총이동,총이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,순이동,순이동,순이동
2016.06,성북구,4620,2224,2396,5378,2625,2753,1571,752,819,1930,927,1003,2299,1124,1175,1119,545,574,1508,749,759,-758,-401,-357
2016.06,강북구,3894,1941,1953,4166,2085,2081,1393,685,708,1714,852,862,1572,774,798,787,404,383,1201,626,575,-272,-144,-128
2016.06,도봉구,3684,1852,1832,3924,2003,1921,1317,662,655,1543,762,781,1291,644,647,824,428,396,1316,697,619,-240,-151,-89
2016.06,노원구,4950,2360,2590,5910,2892,3018,1722,825,897,1799,877,922,1881,879,1002,1429,658,771,2307,1188,1119,-960,-532,-428
2016.06,은평구,6553,3183,3370,7122,3474,3648,2942,1413,1529,2186,1068,1118,1788,879,909,1425,702,723,2392,1182,1210,-569,-291,-278
2016.06,서대문구,5032,2430,2602,5150,2543,2607,1816,877,939,2062,999,1063,1883,950,933,1154,554,600,1451,716,735,-118,-113,-5
2016.06,마포구,5027,2437,2590,5934,2889,3045,1615,765,850,1894,929,965,2528,1234,1294,1518,743,775,1791,890,901,-907,-452,-455
2016.06,양천구,5863,2916,2947,6147,3130,3017,2354,1191,1163,2207,1062,1145,1927,948,979,1302,663,639,1866,991,875,-284,-214,-70
2016.06,강서구,7003,3463,3540,7344,3596,3748,2450,1179,1271,2465,1241,1224,2152,1068,1084,2088,1043,1045,2742,1349,1393,-341,-133,-208
2016.06,구로구,4464,2192,2272,4759,2421,2338,1294,642,652,1530,736,794,1471,764,707,1640,814,826,1994,1015,979,-295,-229,-66
2016.06,금천구,2573,1335,1238,2843,1492,1351,892,471,421,820,398,422,760,377,383,861,466,395,1191,644,547,-270,-157,-113
2016.06,영등포구,4387,2222,2165,5469,2728,2741,1323,658,665,1643,819,824,2287,1127,1160,1421,745,676,1859,943,916,-1082,-506,-576
2016.06,동작구,5126,2505,2621,5077,2539,2538,1245,609,636,2346,1123,1223,2049,1016,1033,1535,773,762,1783,914,869,49,-34,83
2016.06,관악구,7103,3730,3373,7680,3981,3699,2254,1150,1104,2158,1124,1034,2644,1340,1304,2691,1456,1235,2782,1491,1291,-577,-251,-326
2016.06,서초구,5349,2527,2822,5435,2566,2869,1279,573,706,2460,1181,1279,2345,1130,1215,1610,773,837,1811,863,948,-86,-39,-47
2016.06,강남구,7381,3536,3845,8236,3934,4302,2196,1022,1174,2696,1299,1397,3170,1524,1646,2489,1215,1274,2870,1388,1482,-855,-398,-457
2016.06,송파구,7659,3716,3943,8349,4087,4262,2682,1300,1382,2745,1319,1426,2110,1014,1096,2232,1097,1135,3557,1773,1784,-690,-371,-319
2016.06,강동구,5134,2565,2569,6689,3360,3329,2322,1152,1170,1448,725,723,1463,748,715,1364,688,676,2904,1460,1444,-1555,-795,-760
2016.07,서울특별시,110156,54931,55225,123001,61664,61337,36219,17658,18561,41759,20846,20913,41759,20846,20913,32178,16427,15751,45023,23160,21863,-12845,-6733,-6112
2016.07,종로구,1675,857,818,1921,998,923,345,175,170,801,414,387,941,480,461,529,268,261,635,343,292,-246,-141,-105
2016.07,중구,1528,785,743,1581,816,765,290,154,136,786,393,393,875,443,432,452,238,214,416,219,197,-53,-31,-22
2016.07,용산구,2551,1290,1261,2813,1382,1431,592,295,297,1166,588,578,1239,602,637,793,407,386,982,485,497,-262,-92,-170
2016.07,성동구,3280,1620,1660,3366,1691,1675,772,380,392,1612,782,830,1492,764,728,896,458,438,1102,547,555,-86,-71,-15
2016.07,광진구,4052,2041,2011,4441,2216,2225,1201,571,630,1629,834,795,1611,820,791,1222,636,586,1629,825,804,-389,-175,-214
2016.07,동대문구,3618,1909,1709,4267,2234,2033,1103,565,538,1443,751,692,1668,862,806,1072,593,479,1496,807,689,-649,-325,-324
2016.07,중랑구,4562,2290,2272,5129,2586,2543,1872,911,961,1637,819,818,1212,593,619,1053,560,493,2045,1082,963,-567,-296,-271
2016.07,성북구,4497,2182,2315,5695,2811,2884,1624,757,867,1759,863,896,2367,1194,1173,1114,562,552,1704,860,844,-1198,-629,-569
2016.07,강북구,3576,1757,1819,3807,1864,1943,1227,581,646,1605,783,822,1447,697,750,744,393,351,1133,586,547,-231,-107,-124
2016.07,도봉구,3192,1589,1603,3747,1888,1859,1135,549,586,1300,657,643,1304,632,672,757,383,374,1308,707,601,-555,-299,-256
2016.07,노원구,4950,2461,2489,6018,3000,3018,1795,884,911,1895,932,963,1717,836,881,1260,645,615,2506,1280,1226,-1068,-539,-529
2016.07,은평구,5789,2792,2997,6267,3076,3191,2567,1217,1350,1817,897,920,1436,722,714,1405,678,727,2264,1137,1127,-478,-284,-194
2016.07,서대문구,3787,1861,1926,4279,2137,2142,1201,567,634,1487,751,736,1697,848,849,1099,543,556,1381,722,659,-492,-276,-216
2016.07,마포구,4479,2135,2344,5177,2539,2638,1313,623,690,1719,828,891,2200,1064,1136,1447,684,763,1664,852,812,-698,-404,-294
2016.07,양천구,5323,2630,2693,5689,2836,2853,2010,984,1026,2110,1041,1069,1794,883,911,1203,605,598,1885,969,916,-366,-206,-160
2016.07,강서구,7018,3459,3559,7826,3892,3934,2550,1246,1304,2407,1196,1211,1972,967,1005,2061,1017,1044,3304,1679,1625,-808,-433,-375
2016.07,구로구,3980,2032,1948,4527,2265,2262,1151,568,583,1387,715,672,1332,686,646,1442,749,693,2044,1011,1033,-547,-233,-314
2016.07,금천구,2322,1211,1111,2577,1342,1235,819,414,405,729,389,340,612,317,295,774,408,366,1146,611,535,-255,-131,-124
2016.07,영등포구,4406,2284,2122,5491,2839,2652,1481,755,726,1562,820,742,2203,1149,1054,1363,709,654,1807,935,872,-1085,-555,-530
2016.07,동작구,4357,2212,2145,4696,2365,2331,963,453,510,2001,1007,994,1946,983,963,1393,752,641,1787,929,858,-339,-153,-186
2016.07,관악구,6630,3490,3140,6923,3598,3325,1966,985,981,2072,1097,975,2312,1210,1102,2592,1408,1184,2645,1403,1242,-293,-108,-185
2016.07,서초구,5333,2578,2755,5427,2616,2811,1443,712,731,2288,1076,1212,2113,986,1127,1602,790,812,1871,918,953,-94,-38,-56
2016.07,강남구,7276,3554,3722,8120,3967,4153,2308,1124,1184,2555,1241,1314,3049,1449,1600,2413,1189,1224,2763,1394,1369,-844,-413,-431
2016.07,송파구,7480,3657,3823,7766,3954,3812,2526,1223,1303,2669,1299,1370,2026,1049,977,2285,1135,1150,3214,1682,1532,-286,-297,11
2016.07,강동구,4495,2255,2240,5451,2752,2699,1965,965,1000,1323,673,650,1194,610,584,1207,617,590,2292,1177,1115,-956,-497,-459
2016.08,서울특별시,132319,65871,66448,146990,73706,73284,41768,20401,21367,50642,25204,25438,50642,25204,25438,39909,20266,19643,54580,28101,26479,-14671,-7835,-6836
2016.08,종로구,2018,1010,1008,2294,1155,1139,350,166,184,977,487,490,1199,606,593,691,357,334,745,383,362,-276,-145,-131
2016.08,중구,1904,994,910,1772,923,849,293,157,136,1009,513,496,914,454,460,602,324,278,565,312,253,132,71,61
2016.08,용산구,2885,1479,1406,3391,1703,1688,686,343,343,1257,661,596,1521,743,778,942,475,467,1184,617,567,-506,-224,-282
2016.08,성동구,4131,2039,2092,4180,2080,2100,984,475,509,1952,961,991,1829,914,915,1195,603,592,1367,691,676,-49,-41,-8
2016.08,광진구,4844,2408,2436,5208,2597,2611,1375,672,703,1873,937,936,1874,944,930,1596,799,797,1959,981,978,-364,-189,-175
2016.08,동대문구,4083,2104,1979,4781,2441,2340,1084,517,567,1632,825,807,1985,1016,969,1367,762,605,1712,908,804,-698,-337,-361
2016.08,중랑구,5376,2711,2665,6039,2965,3074,2180,1076,1104,1929,979,950,1599,780,819,1267,656,611,2260,1109,1151,-663,-254,-409
2016.08,성북구,5529,2713,2816,6768,3346,3422,1889,887,1002,2149,1074,1075,2856,1416,1440,1491,752,739,2023,1043,980,-1239,-633,-606
2016.08,강북구,4203,2132,2071,4404,2230,2174,1430,695,735,1913,999,914,1735,886,849,860,438,422,1239,649,590,-201,-98,-103
2016.08,도봉구,3996,1982,2014,4377,2224,2153,1370,676,694,1693,854,839,1469,732,737,933,452,481,1538,816,722,-381,-242,-139
2016.08,노원구,5988,2958,3030,6946,3514,3432,2075,1018,1057,2191,1067,1124,2033,1012,1021,1722,873,849,2838,1484,1354,-958,-556,-402
2016.08,은평구,6211,3051,3160,6900,3446,3454,2728,1313,1415,1971,987,984,1742,893,849,1512,751,761,2430,1240,1190,-689,-395,-294
2016.08,서대문구,4095,2009,2086,4720,2381,2339,1138,561,577,1730,835,895,1933,988,945,1227,613,614,1649,832,817,-625,-372,-253
2016.08,마포구,5179,2455,2724,6184,2984,3200,1496,734,762,1906,900,1006,2728,1299,1429,1777,821,956,1960,951,1009,-1005,-529,-476
2016.08,양천구,6563,3274,3289,6919,3512,3407,2387,1181,1206,2656,1334,1322,2349,1197,1152,1520,759,761,2183,1134,1049,-356,-238,-118
2016.08,강서구,9712,4772,4940,9148,4532,4616,3419,1617,1802,3730,1863,1867,2344,1174,1170,2563,1292,1271,3385,1741,1644,564,240,324
2016.08,구로구,4708,2272,2436,5822,2885,2937,1209,572,637,1625,785,840,1902,925,977,1874,915,959,2711,1388,1323,-1114,-613,-501
2016.08,금천구,2640,1387,1253,3132,1643,1489,835,439,396,828,417,411,821,412,409,977,531,446,1476,792,684,-492,-256,-236
2016.08,영등포구,5489,2813,2676,6760,3468,3292,1710,867,843,2050,1079,971,2696,1358,1338,1729,867,862,2354,1243,1111,-1271,-655,-616
2016.08,동작구,5583,2811,2772,5741,2921,2820,1280,624,656,2471,1219,1252,2299,1158,1141,1832,968,864,2162,1139,1023,-158,-110,-48
2016.08,관악구,7800,4110,3690,8542,4423,4119,2291,1191,1100,2365,1203,1162,2819,1414,1405,3144,1716,1428,3432,1818,1614,-742,-313,-429
2016.08,서초구,5819,2769,3050,6163,3005,3158,1411,659,752,2613,1250,1363,2530,1224,1306,1795,860,935,2222,1122,1100,-344,-236,-108
2016.08,강남구,8715,4262,4453,9512,4637,4875,2580,1214,1366,3168,1553,1615,3448,1674,1774,2967,1495,1472,3484,1749,1735,-797,-375,-422
2016.08,송파구,9371,4606,4765,10085,5047,5038,3228,1576,1652,3396,1646,1750,2523,1243,1280,2747,1384,1363,4334,2228,2106,-714,-441,-273
2016.08,강동구,5477,2750,2727,7202,3644,3558,2340,1171,1169,1558,776,782,1494,742,752,1579,803,776,3368,1731,1637,-1725,-894,-831
2016.09,서울특별시,117840,58562,59278,128750,64268,64482,39165,18938,20227,45495,22674,22821,45495,22674,22821,33180,16950,16230,44090,22656,21434,-10910,-5706,-5204
2016.09,종로구,1845,880,965,2053,1033,1020,306,142,164,861,410,451,1137,565,572,678,328,350,610,326,284,-208,-153,-55
2016.09,중구,1567,825,742,1629,854,775,287,145,142,846,450,396,894,462,432,434,230,204,448,247,201,-62,-29,-33
2016.09,용산구,2490,1249,1241,2950,1408,1542,638,299,339,1114,561,553,1419,670,749,738,389,349,893,439,454,-460,-159,-301
2016.09,성동구,3327,1681,1646,3596,1829,1767,774,384,390,1610,810,800,1722,886,836,943,487,456,1100,559,541,-269,-148,-121
2016.09,광진구,4234,2133,2101,4560,2265,2295,1339,640,699,1666,854,812,1607,786,821,1229,639,590,1614,839,775,-326,-132,-194
2016.09,동대문구,3725,1880,1845,4140,2114,2026,1145,556,589,1475,741,734,1630,843,787,1105,583,522,1365,715,650,-415,-234,-181
2016.09,중랑구,4668,2335,2333,4988,2490,2498,2003,965,1038,1520,776,744,1349,684,665,1145,594,551,1636,841,795,-320,-155,-165
2016.09,성북구,4565,2234,2331,5601,2786,2815,1661,794,867,1770,872,898,2435,1208,1227,1134,568,566,1505,784,721,-1036,-552,-484
2016.09,강북구,3505,1760,1745,3807,1923,1884,1263,642,621,1534,773,761,1487,750,737,708,345,363,1057,531,526,-302,-163,-139
2016.09,도봉구,3607,1824,1783,3882,1963,1919,1316,649,667,1492,729,763,1204,616,588,799,446,353,1362,698,664,-275,-139,-136
2016.09,노원구,5326,2581,2745,6145,3009,3136,2017,955,1062,1839,901,938,1942,942,1000,1470,725,745,2186,1112,1074,-819,-428,-391
2016.09,은평구,5510,2711,2799,6011,2995,3016,2396,1153,1243,1775,898,877,1566,780,786,1339,660,679,2049,1062,987,-501,-284,-217
2016.09,서대문구,3574,1753,1821,4009,1989,2020,878,400,478,1611,800,811,1842,907,935,1085,553,532,1289,682,607,-435,-236,-199
2016.09,마포구,4735,2299,2436,5632,2681,2951,1429,675,754,1810,884,926,2447,1186,1261,1496,740,756,1756,820,936,-897,-382,-515
2016.09,양천구,5184,2543,2641,5808,2853,2955,1936,917,1019,2149,1089,1060,2109,1045,1064,1099,537,562,1763,891,872,-624,-310,-314
2016.09,강서구,8764,4312,4452,7999,3987,4012,3243,1550,1693,3420,1710,1710,2002,1010,992,2101,1052,1049,2754,1427,1327,765,325,440
2016.09,구로구,4318,2171,2147,5062,2584,2478,1264,623,641,1566,803,763,1563,800,763,1488,745,743,2235,1161,1074,-744,-413,-331
2016.09,금천구,2359,1255,1104,2781,1472,1309,755,384,371,765,406,359,717,378,339,839,465,374,1309,710,599,-422,-217,-205
2016.09,영등포구,4664,2404,2260,6151,3142,3009,1522,779,743,1732,885,847,2647,1320,1327,1410,740,670,1982,1043,939,-1487,-738,-749
2016.09,동작구,5575,2752,2823,5498,2768,2730,1489,709,780,2518,1218,1300,2197,1085,1112,1568,825,743,1812,974,838,77,-16,93
2016.09,관악구,6823,3637,3186,7549,3956,3593,2103,1101,1002,2165,1130,1035,2585,1319,1266,2555,1406,1149,2861,1536,1325,-726,-319,-407
2016.09,서초구,6026,2876,3150,5552,2686,2866,1592,738,854,2865,1361,1504,2227,1073,1154,1569,777,792,1733,875,858,474,190,284
2016.09,강남구,7318,3488,3830,8088,3907,4181,2322,1067,1255,2834,1366,1468,3122,1534,1588,2162,1055,1107,2644,1306,1338,-770,-419,-351
2016.09,송파구,8393,4136,4257,8620,4268,4352,3005,1454,1551,2826,1383,1443,2414,1184,1230,2562,1299,1263,3201,1630,1571,-227,-132,-95
2016.09,강동구,5738,2843,2895,6639,3306,3333,2482,1217,1265,1732,864,868,1231,641,590,1524,762,762,2926,1448,1478,-901,-463,-438
2016.1,서울특별시,133610,65919,67691,146868,72963,73905,46315,22491,23824,51582,25499,26083,51582,25499,26083,35713,17929,17784,48971,24973,23998,-13258,-7044,-6214
2016.1,종로구,1861,902,959,2114,1037,1077,358,169,189,920,448,472,1166,585,581,583,285,298,590,283,307,-253,-135,-118
2016.1,중구,1822,897,925,1814,943,871,384,182,202,946,472,474,969,524,445,492,243,249,461,237,224,8,-46,54
2016.1,용산구,2757,1331,1426,3336,1646,1690,632,292,340,1237,592,645,1639,805,834,888,447,441,1065,549,516,-579,-315,-264
2016.1,성동구,3534,1749,1785,4322,2178,2144,1049,529,520,1631,805,826,1967,962,1005,854,415,439,1306,687,619,-788,-429,-359
2016.1,광진구,4576,2257,2319,5228,2573,2655,1582,765,817,1767,860,907,1860,919,941,1227,632,595,1786,889,897,-652,-316,-336
2016.1,동대문구,4468,2278,2190,4924,2491,2433,1373,697,676,1894,969,925,1978,989,989,1201,612,589,1573,805,768,-456,-213,-243
2016.1,중랑구,5594,2789,2805,5926,2992,2934,2425,1214,1211,1886,922,964,1575,801,774,1283,653,630,1926,977,949,-332,-203,-129
2016.1,성북구,5168,2538,2630,6108,3017,3091,1886,881,1005,2109,1058,1051,2493,1240,1253,1173,599,574,1729,896,833,-940,-479,-461
2016.1,강북구,3888,1995,1893,4494,2257,2237,1489,760,729,1580,806,774,1751,866,885,819,429,390,1254,631,623,-606,-262,-344
2016.1,도봉구,4256,2133,2123,4356,2198,2158,1572,770,802,1767,893,874,1403,704,699,917,470,447,1381,724,657,-100,-65,-35
2016.1,노원구,6367,3133,3234,7361,3642,3719,2495,1201,1294,2231,1072,1159,2316,1148,1168,1641,860,781,2550,1293,1257,-994,-509,-485
2016.1,은평구,6240,3044,3196,7038,3436,3602,2892,1392,1500,1908,939,969,1763,865,898,1440,713,727,2383,1179,1204,-798,-392,-406
2016.1,서대문구,4107,1956,2151,4385,2082,2303,1106,502,604,1864,905,959,1903,908,995,1137,549,588,1376,672,704,-278,-126,-152
2016.1,마포구,5008,2418,2590,6279,3056,3223,1533,715,818,1987,968,1019,2905,1386,1519,1488,735,753,1841,955,886,-1271,-638,-633
2016.1,양천구,5784,2840,2944,6823,3318,3505,2229,1084,1145,2339,1162,1177,2655,1265,1390,1216,594,622,1939,969,970,-1039,-478,-561
2016.1,강서구,9642,4716,4926,8981,4445,4536,3638,1767,1871,3708,1820,1888,2206,1088,1118,2296,1129,1167,3137,1590,1547,661,271,390
2016.1,구로구,4766,2352,2414,5650,2806,2844,1325,645,680,1798,914,884,1769,876,893,1643,793,850,2556,1285,1271,-884,-454,-430
2016.1,금천구,2804,1446,1358,3233,1681,1552,955,472,483,919,456,463,892,464,428,930,518,412,1386,745,641,-429,-235,-194
2016.1,영등포구,5043,2573,2470,6400,3259,3141,1476,763,713,2002,1016,986,2809,1428,1381,1565,794,771,2115,1068,1047,-1357,-686,-671
2016.1,동작구,6140,3054,3086,6323,3193,3130,1751,856,895,2859,1428,1431,2649,1332,1317,1530,770,760,1923,1005,918,-183,-139,-44
2016.1,관악구,7325,3777,3548,8211,4283,3928,2310,1176,1134,2362,1206,1156,2952,1480,1472,2653,1395,1258,2949,1627,1322,-886,-506,-380
2016.1,서초구,7410,3548,3862,6813,3316,3497,2486,1194,1292,3049,1452,1597,2557,1247,1310,1875,902,973,1770,875,895,597,232,365
2016.1,강남구,7656,3732,3924,8325,4005,4320,2282,1057,1225,3055,1524,1531,3324,1602,1722,2319,1151,1168,2719,1346,1373,-669,-273,-396
2016.1,송파구,10931,5277,5654,10247,5076,5171,3995,1916,2079,3846,1858,1988,2564,1288,1276,3090,1503,1587,3688,1872,1816,684,201,483
2016.1,강동구,6463,3184,3279,8177,4033,4144,3092,1492,1600,1918,954,964,1517,727,790,1453,738,715,3568,1814,1754,-1714,-849,-865
2016.11,서울특별시,130166,64061,66105,144748,71579,73169,44637,21613,23024,50777,25035,25742,50777,25035,25742,34752,17413,17339,49334,24931,24403,-14582,-7518,-7064
2016.11,종로구,1683,816,867,2063,1026,1037,294,134,160,855,414,441,1140,559,581,534,268,266,629,333,296,-380,-210,-170
2016.11,중구,1557,745,812,1729,873,856,248,120,128,916,439,477,981,501,480,393,186,207,500,252,248,-172,-128,-44
2016.11,용산구,2904,1428,1476,3400,1640,1760,721,357,364,1276,635,641,1577,744,833,907,436,471,1102,539,563,-496,-212,-284
2016.11,성동구,4401,2187,2214,4255,2132,2123,1158,561,597,2155,1043,1112,1809,913,896,1088,583,505,1288,658,630,146,55,91
2016.11,광진구,4541,2196,2345,5205,2574,2631,1494,723,771,1775,866,909,1939,970,969,1272,607,665,1772,881,891,-664,-378,-286
2016.11,동대문구,4206,2118,2088,4750,2480,2270,1266,627,639,1806,903,903,1958,1047,911,1134,588,546,1526,806,720,-544,-362,-182
2016.11,중랑구,5248,2636,2612,5692,2863,2829,2124,1050,1074,2017,1042,975,1604,808,796,1107,544,563,1964,1005,959,-444,-227,-217
2016.11,성북구,4996,2448,2548,6155,3001,3154,1822,874,948,2016,1023,993,2567,1260,1307,1158,551,607,1766,867,899,-1159,-553,-606
2016.11,강북구,3852,1884,1968,4396,2158,2238,1494,711,783,1614,793,821,1675,812,863,744,380,364,1227,635,592,-544,-274,-270
2016.11,도봉구,4116,2002,2114,4546,2233,2313,1596,751,845,1667,819,848,1449,710,739,853,432,421,1501,772,729,-430,-231,-199
2016.11,노원구,6133,2974,3159,7330,3566,3764,2524,1184,1340,2182,1058,1124,2206,1103,1103,1427,732,695,2600,1279,1321,-1197,-592,-605
2016.11,은평구,6186,2961,3225,7034,3396,3638,2876,1349,1527,1981,966,1015,1704,831,873,1329,646,683,2454,1216,1238,-848,-435,-413
2016.11,서대문구,3856,1847,2009,4315,2061,2254,1053,477,576,1776,861,915,1894,905,989,1027,509,518,1368,679,689,-459,-214,-245
2016.11,마포구,5402,2552,2850,6481,3116,3365,1672,794,878,2170,1020,1150,2802,1377,1425,1560,738,822,2007,945,1062,-1079,-564,-515
2016.11,양천구,5624,2775,2849,7110,3530,3580,2336,1150,1186,2031,986,1045,2650,1322,1328,1257,639,618,2124,1058,1066,-1486,-755,-731
2016.11,강서구,8922,4395,4527,8022,3980,4042,3177,1539,1638,3545,1785,1760,2015,1009,1006,2200,1071,1129,2830,1432,1398,900,415,485
2016.11,구로구,4794,2322,2472,5538,2748,2790,1421,692,729,1844,888,956,1581,768,813,1529,742,787,2536,1288,1248,-744,-426,-318
2016.11,금천구,2876,1473,1403,3213,1619,1594,979,473,506,986,508,478,877,429,448,911,492,419,1357,717,640,-337,-146,-191
2016.11,영등포구,4925,2527,2398,6153,3156,2997,1478,777,701,1898,960,938,2621,1321,1300,1549,790,759,2054,1058,996,-1228,-629,-599
2016.11,동작구,5630,2747,2883,6165,3087,3078,1523,751,772,2559,1218,1341,2493,1244,1249,1548,778,770,2149,1092,1057,-535,-340,-195
2016.11,관악구,7357,3804,3553,8285,4299,3986,2356,1209,1147,2419,1243,1176,2865,1471,1394,2582,1352,1230,3064,1619,1445,-928,-495,-433
