기간,자치구,총이동,총이동,총이동,총이동,총이동,총이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,순이동,순이동,순이동
2017.05,강북구,3898,1908,1990,4106,2083,2023,1514,745,769,1621,784,837,1509,746,763,763,379,384,1083,592,491,-208,-175,-33
2017.05,도봉구,3687,1795,1892,3935,1984,1951,1301,640,661,1510,724,786,1319,657,662,876,431,445,1315,687,628,-248,-189,-59
2017.05,노원구,5177,2558,2619,6108,3006,3102,2055,994,1061,1774,881,893,1931,904,1027,1348,683,665,2122,1108,1014,-931,-448,-483
2017.05,은평구,5948,2860,3088,6598,3254,3344,2618,1256,1362,1879,890,989,1757,884,873,1451,714,737,2223,1114,1109,-650,-394,-256
2017.05,서대문구,4058,1979,2079,4348,2112,2236,1083,523,560,1816,892,924,1964,961,1003,1159,564,595,1301,628,673,-290,-133,-157
2017.05,마포구,4822,2299,2523,5150,2491,2659,1297,610,687,1997,952,1045,2331,1110,1221,1528,737,791,1522,771,751,-328,-192,-136
2017.05,양천구,4251,2082,2169,5258,2636,2622,1349,660,689,1758,839,919,2098,1020,1078,1144,583,561,1811,956,855,-1007,-554,-453
2017.05,강서구,8541,4076,4465,7469,3600,3869,2869,1364,1505,3244,1558,1686,1930,927,1003,2428,1154,1274,2670,1309,1361,1072,476,596
2017.05,구로구,4429,2222,2207,5229,2588,2641,1312,646,666,1415,718,697,1729,831,898,1702,858,844,2188,1111,1077,-800,-366,-434
2017.05,금천구,3022,1582,1440,2999,1581,1418,974,491,483,931,474,457,786,419,367,1117,617,500,1239,671,568,23,1,22
2017.05,영등포구,6902,3482,3420,6051,3056,2995,1928,972,956,3081,1545,1536,2246,1115,1131,1893,965,928,1877,969,908,851,426,425
2017.05,동작구,5168,2513,2655,5795,2844,2951,1400,651,749,2122,1024,1098,2650,1294,1356,1646,838,808,1745,899,846,-627,-331,-296
2017.05,관악구,7905,4083,3822,8236,4348,3888,2548,1314,1234,2382,1191,1191,2876,1475,1401,2975,1578,1397,2812,1559,1253,-331,-265,-66
2017.05,서초구,5428,2586,2842,6447,3066,3381,1749,838,911,2155,1021,1134,2854,1309,1545,1524,727,797,1844,919,925,-1019,-480,-539
2017.05,강남구,7028,3437,3591,7986,3818,4168,2179,1034,1145,2560,1294,1266,3095,1465,1630,2289,1109,1180,2712,1319,1393,-958,-381,-577
2017.05,송파구,8658,4145,4513,8493,4153,4340,3148,1500,1648,2889,1352,1537,2429,1187,1242,2621,1293,1328,2916,1466,1450,165,-8,173
2017.05,강동구,6299,3140,3159,6274,3121,3153,2777,1345,1432,1893,953,940,1434,676,758,1629,842,787,2063,1100,963,25,19,6
2017.06,서울특별시,115236,56963,58273,121281,60529,60752,37233,18053,19180,43703,21537,22166,43703,21537,22166,34300,17373,16927,40345,20939,19406,-6045,-3566,-2479
2017.06,종로구,2214,1117,1097,2079,1062,1017,359,189,170,1219,606,613,1114,543,571,636,322,314,606,330,276,135,55,80
2017.06,중구,1533,762,771,1630,843,787,303,143,160,725,371,354,871,455,416,505,248,257,456,245,211,-97,-81,-16
2017.06,용산구,2877,1449,1428,2848,1424,1424,676,329,347,1294,647,647,1263,631,632,907,473,434,909,464,445,29,25,4
2017.06,성동구,3654,1756,1898,3504,1754,1750,870,405,465,1818,850,968,1614,805,809,966,501,465,1020,544,476,150,2,148
2017.06,광진구,4445,2137,2308,4410,2165,2245,1328,608,720,1764,856,908,1610,813,797,1353,673,680,1472,744,728,35,-28,63
2017.06,동대문구,3766,1943,1823,4105,2100,2005,1220,609,611,1507,773,734,1612,807,805,1039,561,478,1273,684,589,-339,-157,-182
2017.06,중랑구,5568,2744,2824,5112,2560,2552,2331,1144,1187,2109,1050,1059,1325,656,669,1128,550,578,1456,760,696,456,184,272
2017.06,성북구,4415,2159,2256,5094,2516,2578,1476,717,759,1772,852,920,2132,1030,1102,1167,590,577,1486,769,717,-679,-357,-322
2017.06,강북구,3649,1805,1844,3616,1799,1817,1252,627,625,1562,771,791,1371,656,715,835,407,428,993,516,477,33,6,27
2017.06,도봉구,3503,1741,1762,3543,1775,1768,1130,550,580,1472,735,737,1254,598,656,901,456,445,1159,627,532,-40,-34,-6
2017.06,노원구,4837,2328,2509,6359,3122,3237,2014,935,1079,1531,748,783,2290,1099,1191,1292,645,647,2055,1088,967,-1522,-794,-728
2017.06,은평구,5345,2634,2711,6103,3006,3097,2313,1112,1201,1643,822,821,1593,768,825,1389,700,689,2197,1126,1071,-758,-372,-386
2017.06,서대문구,3849,1905,1944,3705,1862,1843,854,421,433,1825,889,936,1667,825,842,1170,595,575,1184,616,568,144,43,101
2017.06,마포구,4474,2113,2361,4958,2394,2564,1213,545,668,1833,856,977,2245,1127,1118,1428,712,716,1500,722,778,-484,-281,-203
2017.06,양천구,4218,2043,2175,4768,2419,2349,1304,647,657,1687,798,889,1842,899,943,1227,598,629,1622,873,749,-550,-376,-174
2017.06,강서구,7998,3923,4075,7145,3499,3646,2837,1367,1470,2776,1372,1404,1787,850,937,2385,1184,1201,2521,1282,1239,853,424,429
2017.06,구로구,3994,2001,1993,4530,2298,2232,1167,577,590,1254,646,608,1434,711,723,1573,778,795,1929,1010,919,-536,-297,-239
2017.06,금천구,2628,1370,1258,2732,1414,1318,835,422,413,811,439,372,687,375,312,982,509,473,1210,617,593,-104,-44,-60
2017.06,영등포구,4851,2488,2363,4810,2439,2371,1235,618,617,2030,1047,983,1977,977,1000,1586,823,763,1598,844,754,41,49,-8
2017.06,동작구,4664,2281,2383,4995,2507,2488,1202,551,651,1978,959,1019,2114,1053,1061,1484,771,713,1679,903,776,-331,-226,-105
2017.06,관악구,6898,3639,3259,7254,3774,3480,2163,1105,1058,2096,1085,1011,2374,1200,1174,2639,1449,1190,2717,1469,1248,-356,-135,-221
2017.06,서초구,5164,2442,2722,6185,2999,3186,1712,803,909,1941,890,1051,2657,1284,1373,1511,749,762,1816,912,904,-1021,-557,-464
2017.06,강남구,6743,3285,3458,7551,3698,3853,1982,948,1034,2524,1265,1259,3006,1447,1559,2237,1072,1165,2563,1303,1260,-808,-413,-395
2017.06,송파구,7968,3922,4046,7721,3780,3941,2612,1261,1351,2819,1373,1446,2317,1134,1183,2537,1288,1249,2792,1385,1407,247,142,105
2017.06,강동구,5981,2976,3005,6524,3320,3204,2845,1420,1425,1713,837,876,1547,794,753,1423,719,704,2132,1106,1026,-543,-344,-199
2017.07,서울특별시,113098,56213,56885,121341,60668,60673,36411,17785,18626,43168,21295,21873,43168,21295,21873,33519,17133,16386,41762,21588,20174,-8243,-4455,-3788
2017.07,종로구,2306,1138,1168,1919,973,946,353,169,184,1314,626,688,947,486,461,639,343,296,619,318,301,387,165,222
2017.07,중구,1391,706,685,1448,727,721,253,124,129,718,363,355,785,397,388,420,219,201,410,206,204,-57,-21,-36
2017.07,용산구,2645,1298,1347,2790,1384,1406,534,254,280,1288,633,655,1320,652,668,823,411,412,936,478,458,-145,-86,-59
2017.07,성동구,3649,1839,1810,3569,1814,1755,811,409,402,1835,923,912,1558,784,774,1003,507,496,1200,621,579,80,25,55
2017.07,광진구,4282,2109,2173,4184,2104,2080,1315,641,674,1709,834,875,1457,722,735,1258,634,624,1412,741,671,98,5,93
2017.07,동대문구,3574,1849,1725,3961,2063,1898,1068,535,533,1480,757,723,1623,834,789,1026,557,469,1270,694,576,-387,-214,-173
2017.07,중랑구,4677,2351,2326,4454,2253,2201,1830,910,920,1794,907,887,1184,600,584,1053,534,519,1440,743,697,223,98,125
2017.07,성북구,4078,2027,2051,4562,2260,2302,1257,637,620,1786,892,894,1932,937,995,1035,498,537,1373,686,687,-484,-233,-251
2017.07,강북구,3278,1590,1688,3652,1795,1857,1188,551,637,1360,659,701,1376,676,700,730,380,350,1088,568,520,-374,-205,-169
2017.07,도봉구,3538,1793,1745,3694,1907,1787,1118,582,536,1517,751,766,1377,686,691,903,460,443,1199,639,560,-156,-114,-42
2017.07,노원구,4952,2467,2485,6434,3204,3230,1993,956,1037,1612,791,821,2164,1045,1119,1347,720,627,2277,1203,1074,-1482,-737,-745
2017.07,은평구,5379,2617,2762,6131,3038,3093,2417,1177,1240,1595,757,838,1505,744,761,1367,683,684,2209,1117,1092,-752,-421,-331
2017.07,서대문구,3581,1735,1846,3713,1842,1871,823,374,449,1683,818,865,1707,844,863,1075,543,532,1183,624,559,-132,-107,-25
2017.07,마포구,4363,2075,2288,4711,2275,2436,1066,490,576,1874,915,959,2046,967,1079,1423,670,753,1599,818,781,-348,-200,-148
2017.07,양천구,4159,2075,2084,4561,2225,2336,1260,612,648,1687,827,860,1695,813,882,1212,636,576,1606,800,806,-402,-150,-252
2017.07,강서구,7279,3544,3735,6962,3398,3564,2468,1157,1311,2508,1228,1280,1798,873,925,2303,1159,1144,2696,1368,1328,317,146,171
2017.07,구로구,3829,1905,1924,4353,2215,2138,1062,529,533,1267,630,637,1360,681,679,1500,746,754,1931,1005,926,-524,-310,-214
2017.07,금천구,2458,1301,1157,2732,1473,1259,827,440,387,729,381,348,701,357,344,902,480,422,1204,676,528,-274,-172,-102
2017.07,영등포구,4830,2466,2364,5122,2593,2529,1310,665,645,1956,982,974,2023,986,1037,1564,819,745,1789,942,847,-292,-127,-165
2017.07,동작구,4639,2314,2325,4903,2425,2478,1099,535,564,2014,981,1033,2064,986,1078,1526,798,728,1740,904,836,-264,-111,-153
2017.07,관악구,6875,3611,3264,7354,3889,3465,2141,1120,1021,2016,1043,973,2396,1254,1142,2718,1448,1270,2817,1515,1302,-479,-278,-201
2017.07,서초구,5958,2832,3126,6666,3234,3432,1996,936,1060,2317,1086,1231,2663,1274,1389,1645,810,835,2007,1024,983,-708,-402,-306
2017.07,강남구,7238,3517,3721,7825,3778,4047,2259,1075,1184,2584,1261,1323,3022,1458,1564,2395,1181,1214,2544,1245,1299,-587,-261,-326
2017.07,송파구,7936,3938,3998,7811,3833,3978,2579,1232,1347,3038,1501,1537,2349,1147,1202,2319,1205,1114,2883,1454,1429,125,105,20
2017.07,강동구,6204,3116,3088,7830,3966,3864,3384,1675,1709,1487,749,738,2116,1092,1024,1333,692,641,2330,1199,1131,-1626,-850,-776
2017.08,서울특별시,115236,56963,58273,121281,60529,60752,37233,18053,19180,43703,21537,22166,43703,21537,22166,34300,17373,16927,40345,20939,19406,-6045,-3566,-2479
2017.08,종로구,2214,1117,1097,2079,1062,1017,359,189,170,1219,606,613,1114,543,571,636,322,314,606,330,276,135,55,80
2017.08,중구,1533,762,771,1630,843,787,303,143,160,725,371,354,871,455,416,505,248,257,456,245,211,-97,-81,-16
2017.08,용산구,2877,1449,1428,2848,1424,1424,676,329,347,1294,647,647,1263,631,632,907,473,434,909,464,445,29,25,4
2017.08,성동구,3654,1756,1898,3504,1754,1750,870,405,465,1818,850,968,1614,805,809,966,501,465,1020,544,476,150,2,148
2017.08,광진구,4445,2137,2308,4410,2165,2245,1328,608,720,1764,856,908,1610,813,797,1353,673,680,1472,744,728,35,-28,63
2017.08,동대문구,3766,1943,1823,4105,2100,2005,1220,609,611,1507,773,734,1612,807,805,1039,561,478,1273,684,589,-339,-157,-182
2017.08,중랑구,5568,2744,2824,5112,2560,2552,2331,1144,1187,2109,1050,1059,1325,656,669,1128,550,578,1456,760,696,456,184,272
2017.08,성북구,4415,2159,2256,5094,2516,2578,1476,717,759,1772,852,920,2132,1030,1102,1167,590,577,1486,769,717,-679,-357,-322
2017.08,강북구,3649,1805,1844,3616,1799,1817,1252,627,625,1562,771,791,1371,656,715,835,407,428,993,516,477,33,6,27
2017.08,도봉구,3503,1741,1762,3543,1775,1768,1130,550,580,1472,735,737,1254,598,656,901,456,445,1159,627,532,-40,-34,-6
2017.08,노원구,4837,2328,2509,6359,3122,3237,2014,935,1079,1531,748,783,2290,1099,1191,1292,645,647,2055,1088,967,-1522,-794,-728
2017.08,은평구,5345,2634,2711,6103,3006,3097,2313,1112,1201,1643,822,821,1593,768,825,1389,700,689,2197,1126,1071,-758,-372,-386
2017.08,서대문구,3849,1905,1944,3705,1862,1843,854,421,433,1825,889,936,1667,825,842,1170,595,575,1184,616,568,144,43,101
2017.08,마포구,4474,2113,2361,4958,2394,2564,1213,545,668,1833,856,977,2245,1127,1118,1428,712,716,1500,722,778,-484,-281,-203
2017.08,양천구,4218,2043,2175,4768,2419,2349,1304,647,657,1687,798,889,1842,899,943,1227,598,629,1622,873,749,-550,-376,-174
2017.08,강서구,7998,3923,4075,7145,3499,3646,2837,1367,1470,2776,1372,1404,1787,850,937,2385,1184,1201,2521,1282,1239,853,424,429
2017.08,구로구,3994,2001,1993,4530,2298,2232,1167,577,590,1254,646,608,1434,711,723,1573,778,795,1929,1010,919,-536,-297,-239
2017.08,금천구,2628,1370,1258,2732,1414,1318,835,422,413,811,439,372,687,375,312,982,509,473,1210,617,593,-104,-44,-60
2017.08,영등포구,4851,2488,2363,4810,2439,2371,1235,618,617,2030,1047,983,1977,977,1000,1586,823,763,1598,844,754,41,49,-8
2017.08,동작구,4664,2281,2383,4995,2507,2488,1202,551,651,1978,959,1019,2114,1053,1061,1484,771,713,1679,903,776,-331,-226,-105
2017.08,관악구,6898,3639,3259,7254,3774,3480,2163,1105,1058,2096,1085,1011,2374,1200,1174,2639,1449,1190,2717,1469,1248,-356,-135,-221
2017.08,서초구,5164,2442,2722,6185,2999,3186,1712,803,909,1941,890,1051,2657,1284,1373,1511,749,762,1816,912,904,-1021,-557,-464
2017.08,강남구,6743,3285,3458,7551,3698,3853,1982,948,1034,2524,1265,1259,3006,1447,1559,2237,1072,1165,2563,1303,1260,-808,-413,-395
2017.08,송파구,7968,3922,4046,7721,3780,3941,2612,1261,1351,2819,1373,1446,2317,1134,1183,2537,1288,1249,2792,1385,1407,247,142,105
2017.08,강동구,5981,2976,3005,6524,3320,3204,2845,1420,1425,1713,837,876,1547,794,753,1423,719,704,2132,1106,1026,-543,-344,-199
2017.09,서울특별시,120252,60197,60055,133583,67098,66485,39381,19282,20099,47045,23559,23486,47045,23559,23486,33826,17356,16470,47157,24257,22900,-13331,-6901,-6430
2017.09,종로구,2201,1098,1103,2146,1095,1051,378,189,189,1074,520,554,1074,555,519,749,389,360,694,351,343,55,3,52
2017.09,중구,2305,1165,1140,1772,911,861,303,146,157,1403,705,698,966,510,456,599,314,285,503,255,248,533,254,279
2017.09,용산구,3147,1567,1580,3079,1564,1515,656,320,336,1530,765,765,1483,754,729,961,482,479,940,490,450,68,3,65
2017.09,성동구,3916,1966,1950,3920,1952,1968,959,461,498,1963,996,967,1764,875,889,994,509,485,1197,616,581,-4,14,-18
2017.09,광진구,4701,2301,2400,4885,2439,2446,1451,692,759,1944,984,960,1726,888,838,1306,625,681,1708,859,849,-184,-138,-46
2017.09,동대문구,3867,2005,1862,4307,2187,2120,1095,544,551,1655,841,814,1803,899,904,1117,620,497,1409,744,665,-440,-182,-258
2017.09,중랑구,4828,2485,2343,5246,2615,2631,1906,976,930,1821,930,891,1368,665,703,1101,579,522,1972,974,998,-418,-130,-288
2017.09,성북구,4965,2431,2534,5837,2884,2953,1835,874,961,1945,946,999,2294,1146,1148,1185,611,574,1708,864,844,-872,-453,-419
2017.09,강북구,3447,1736,1711,3874,1933,1941,1228,621,607,1482,745,737,1541,757,784,737,370,367,1105,555,550,-427,-197,-230
2017.09,도봉구,3582,1799,1783,3992,2019,1973,1271,628,643,1533,767,766,1281,650,631,778,404,374,1440,741,699,-410,-220,-190
2017.09,노원구,5576,2806,2770,7038,3452,3586,2171,1038,1133,1929,974,955,2229,1082,1147,1476,794,682,2638,1332,1306,-1462,-646,-816
2017.09,은평구,6675,3341,3334,6633,3308,3325,2825,1366,1459,2271,1145,1126,1497,744,753,1579,830,749,2311,1198,1113,42,33,9
2017.09,서대문구,3684,1822,1862,4132,2093,2039,959,465,494,1600,783,817,1823,933,890,1125,574,551,1350,695,655,-448,-271,-177
2017.09,마포구,4589,2244,2345,5202,2572,2630,1147,554,593,1980,996,984,2484,1232,1252,1462,694,768,1571,786,785,-613,-328,-285
2017.09,양천구,4229,2070,2159,5021,2523,2498,1348,644,704,1889,939,950,1932,953,979,992,487,505,1741,926,815,-792,-453,-339
2017.09,강서구,7493,3657,3836,7632,3851,3781,2522,1206,1316,2598,1275,1323,2090,1093,997,2373,1176,1197,3020,1552,1468,-139,-194,55
2017.09,구로구,4227,2121,2106,5204,2594,2610,1300,618,682,1492,769,723,1572,787,785,1435,734,701,2332,1189,1143,-977,-473,-504
2017.09,금천구,2519,1334,1185,2874,1566,1308,777,406,371,838,442,396,760,437,323,904,486,418,1337,723,614,-355,-232,-123
2017.09,영등포구,5563,2861,2702,5523,2823,2700,1502,771,731,2439,1246,1193,2193,1124,1069,1622,844,778,1828,928,900,40,38,2
2017.09,동작구,4575,2303,2272,5138,2610,2528,1188,596,592,2007,993,1014,2074,1020,1054,1380,714,666,1876,994,882,-563,-307,-256
2017.09,관악구,7166,3767,3399,7814,4062,3752,2181,1095,1086,2245,1205,1040,2616,1312,1304,2740,1467,1273,3017,1655,1362,-648,-295,-353
2017.09,서초구,5160,2501,2659,5549,2741,2808,1389,659,730,2219,1091,1128,2312,1147,1165,1552,751,801,1848,935,913,-389,-240,-149
2017.09,강남구,6963,3456,3507,8556,4172,4384,2412,1146,1266,2506,1236,1270,3224,1568,1656,2045,1074,971,2920,1458,1462,-1593,-716,-877
2017.09,송파구,8099,3948,4151,8634,4251,4383,2745,1324,1421,3078,1479,1599,2598,1271,1327,2276,1145,1131,3291,1656,1635,-535,-303,-232
2017.09,강동구,6775,3413,3362,9575,4881,4694,3833,1943,1890,1604,787,817,2341,1157,1184,1338,683,655,3401,1781,1620,-2800,-1468,-1332
2017.1,서울특별시,109323,54128,55195,120064,59535,60529,37469,18135,19334,42714,21098,21616,42714,21098,21616,29140,14895,14245,39881,20302,19579,-10741,-5407,-5334
2017.1,종로구,1722,865,857,1734,883,851,327,165,162,882,449,433,896,458,438,513,251,262,511,260,251,-12,-18,6
2017.1,중구,1622,862,760,1513,744,769,266,123,143,894,474,420,818,406,412,462,265,197,429,215,214,109,118,-9
2017.1,용산구,2752,1370,1382,2670,1334,1336,600,305,295,1298,627,671,1224,598,626,854,438,416,846,431,415,82,36,46
2017.1,성동구,3282,1600,1682,3448,1678,1770,861,418,443,1618,774,844,1584,766,818,803,408,395,1003,494,509,-166,-78,-88
2017.1,광진구,4415,2155,2260,4569,2217,2352,1498,709,789,1789,886,903,1685,812,873,1128,560,568,1386,696,690,-154,-62,-92
2017.1,동대문구,3466,1790,1676,3795,1906,1889,1089,543,546,1435,748,687,1567,791,776,942,499,443,1139,572,567,-329,-116,-213
2017.1,중랑구,4700,2412,2288,5097,2579,2518,1932,988,944,1714,903,811,1405,707,698,1054,521,533,1760,884,876,-397,-167,-230
2017.1,성북구,4393,2127,2266,5310,2624,2686,1656,806,850,1785,847,938,2248,1119,1129,952,474,478,1406,699,707,-917,-497,-420
2017.1,강북구,3279,1640,1639,3454,1731,1723,1127,543,584,1456,747,709,1415,728,687,696,350,346,912,460,452,-175,-91,-84
2017.1,도봉구,3522,1757,1765,3667,1832,1835,1319,624,695,1449,752,697,1166,586,580,754,381,373,1182,622,560,-145,-75,-70
2017.1,노원구,4820,2334,2486,6072,2992,3080,1948,901,1047,1704,823,881,2009,1020,989,1168,610,558,2115,1071,1044,-1252,-658,-594
2017.1,은평구,5275,2522,2753,5523,2687,2836,2226,1049,1177,1803,873,930,1340,650,690,1246,600,646,1957,988,969,-248,-165,-83
2017.1,서대문구,3247,1597,1650,3515,1742,1773,821,370,451,1484,725,759,1625,812,813,942,502,440,1069,560,509,-268,-145,-123
2017.1,마포구,3822,1853,1969,4617,2237,2380,1083,518,565,1559,748,811,2072,1005,1067,1180,587,593,1462,714,748,-795,-384,-411
2017.1,양천구,4027,2006,2021,4458,2234,2224,1269,625,644,1741,859,882,1773,895,878,1017,522,495,1416,714,702,-431,-228,-203
2017.1,강서구,6603,3231,3372,6767,3354,3413,2284,1079,1205,2304,1157,1147,1887,939,948,2015,995,1020,2596,1336,1260,-164,-123,-41
2017.1,구로구,3754,1909,1845,4457,2258,2199,1064,527,537,1370,680,690,1458,737,721,1320,702,618,1935,994,941,-703,-349,-354
2017.1,금천구,2639,1399,1240,2815,1487,1328,886,446,440,858,452,406,694,370,324,895,501,394,1235,671,564,-176,-88,-88
2017.1,영등포구,4820,2466,2354,4702,2296,2406,1234,626,608,2112,1053,1059,1868,895,973,1474,787,687,1600,775,825,118,170,-52
2017.1,동작구,4278,2124,2154,4997,2501,2496,1167,577,590,1948,935,1013,2134,1044,1090,1163,612,551,1696,880,816,-719,-377,-342
2017.1,관악구,6392,3310,3082,6986,3639,3347,2143,1076,1067,1972,1026,946,2313,1187,1126,2277,1208,1069,2530,1376,1154,-594,-329,-265
2017.1,서초구,4685,2233,2452,5242,2532,2710,1423,666,757,1959,924,1035,2186,1032,1154,1303,643,660,1633,834,799,-557,-299,-258
2017.1,강남구,6490,3182,3308,7962,3820,4142,2427,1157,1270,2307,1128,1179,3113,1473,1640,1756,897,859,2422,1190,1232,-1472,-638,-834
2017.1,송파구,9771,4645,5126,8845,4266,4579,3881,1829,2052,3784,1790,1994,2116,1006,1110,2106,1026,1080,2848,1431,1417,926,379,547
2017.1,강동구,5547,2739,2808,7849,3962,3887,2938,1465,1473,1489,718,771,2118,1062,1056,1120,556,564,2793,1435,1358,-2302,-1223,-1079
